title,vote_average,adult,genres,spoken_languages
Despicable Me 2,6.916,False,"Animation, Comedy, Family",English
Kung Fu Panda,7.24,False,"Action, Adventure, Animation, Family, Comedy",English
Transformers,6.8,False,"Adventure, Science Fiction, Action","Spanish, English"
E.T. the Extra-Terrestrial,7.512,False,"Science Fiction, Adventure, Family, Fantasy",English
Taken,7.387,False,"Action, Thriller","English, French, Arabic, Albanian"
Jurassic World: Fallen Kingdom,6.548,False,"Action, Adventure, Science Fiction, Thriller","English, Russian"
The Big Lebowski,7.842,False,"Comedy, Crime","English, Hebrew, Spanish, German"
Dawn of the Planet of the Apes,7.306,False,"Science Fiction, Action, Drama, Thriller",English
Dead Poets Society,8.312,False,Drama,"English, Latin"
Your Name.,8.514,False,"Romance, Animation, Drama",Japanese
Fantastic Beasts: The Crimes of Grindelwald,6.876,False,"Fantasy, Adventure, Family","English, French"
Die Hard,7.775,False,"Action, Thriller","English, German, Italian"
Now You See Me 2,6.83,False,"Crime, Thriller, Action, Mystery","Cantonese, Mandarin, English"
Home Alone,7.412,False,"Comedy, Family","English, French"
The Matrix Reloaded,7.039,False,"Adventure, Action, Thriller, Science Fiction","English, French"
Madagascar,6.892,False,"Family, Animation, Adventure, Comedy","English, French, German, Portuguese, Spanish"
The Theory of Everything,7.86,False,"Drama, Romance","Latin, English, French, Italian"
Nightcrawler,7.703,False,"Crime, Drama, Thriller",English
Fast & Furious 6,6.817,False,"Action, Thriller, Crime","Cantonese, Dutch, English, Japanese, Russian, Spanish"
Oblivion,6.618,False,"Action, Science Fiction, Adventure, Mystery",English
Bruce Almighty,6.706,False,"Fantasy, Comedy",English
Gran Torino,7.994,False,Drama,English
Furious 7,7.238,False,"Action, Thriller, Crime","Arabic, English, Spanish, Thai"
Minions,6.395,False,"Family, Animation, Adventure, Comedy",English
Casino Royale,7.543,False,"Adventure, Action, Thriller","English, French"
The Fifth Element,7.53,False,"Adventure, Fantasy, Action, Thriller, Science Fiction","English, Swedish, German"
Slumdog Millionaire,7.734,False,"Drama, Romance","French, Hindi, English"
Monsters University,7.0,False,"Animation, Family",English
Limitless,7.186,False,"Thriller, Mystery, Science Fiction","English, Italian, Russian, Mandarin, French"
Spectre,6.533,False,"Action, Adventure, Thriller","French, English, Spanish, Italian, German"
The Perks of Being a Wallflower,7.8,False,Drama,English
Pan's Labyrinth,7.757,False,"Fantasy, Drama, War",Spanish
Jumanji,7.239,False,"Adventure, Fantasy, Family","English, French"
Avatar: The Way of Water,7.654,False,"Science Fiction, Adventure, Action",English
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",7.126,False,"Adventure, Family, Fantasy","English, German"
American Psycho,7.4,False,"Thriller, Drama, Crime","English, Spanish, Cantonese"
X-Men Origins: Wolverine,6.254,False,"Adventure, Action, Thriller, Science Fiction",English
The Hangover Part II,6.468,False,Comedy,"English, Thai"
Sherlock Holmes: A Game of Shadows,7.13,False,"Adventure, Action, Crime, Mystery",English
The Fate of the Furious,6.887,False,"Action, Crime, Thriller","English, Spanish"
John Wick: Chapter 3 - Parabellum,7.447,False,"Action, Thriller, Crime","Arabic, Mandarin, English, Indonesian, Italian, Japanese, Latin, Russian"
Kong: Skull Island,6.514,False,"Action, Adventure, Fantasy","English, Vietnamese"
Back to the Future Part III,7.465,False,"Adventure, Comedy, Science Fiction",English
Men in Black 3,6.51,False,"Action, Comedy, Science Fiction",English
Maze Runner: The Scorch Trials,6.7,False,"Science Fiction, Action, Thriller, Adventure",English
Full Metal Jacket,8.136,False,"Drama, War","English, Vietnamese"
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),7.0,False,"Action, Crime",English
One Flew Over the Cuckoo's Nest,8.42,False,Drama,English
21 Jump Street,6.878,False,"Action, Comedy, Crime",English
Looper,6.877,False,"Action, Thriller, Science Fiction",English
